close,close_truth,open,open_truth,high,high_truth,low,low_truth
4164.37,3589.224539635165,4145.53,3682.7976572003436,4165.66,3684.705368993592,4143.59,3618.461525372689
4163.18,4009.252948584549,4177.58,4052.4078893482415,4180.98,4046.2519202559715,4148.48,4018.7795863052834
4203.99,4287.364256570057,4166.93,4256.094098871982,4203.99,4277.736468330983,4148.6,4271.754587698171
4189.89,4267.600103380644,4215.16,4222.295370255864,4223.51,4269.450082622807,4188.08,4238.995979496191
4166.73,4184.211101754057,4186.88,4163.859297354718,4193.87,4203.453932126535,4150.88,4156.872272579157
4149.04,4107.221828677538,4174.82,4117.545608513854,4175.29,4140.682027521991,4142.18,4089.676997295045
4154.85,4104.721198319205,4162.19,4125.259558502863,4177.03,4137.172507905355,4141.64,4090.580360441996
4185.83,4141.904957385077,4170.74,4162.817458119369,4185.96,4165.602613153415,4149.49,4128.364751145383
4114.31,4063.7500139165477,4165.02,4096.174075611206,4165.02,4104.688643442365,4113.33,4053.2122165113856
4131.93,4090.0952912151965,4093.8,4116.584991933221,4141.18,4127.779038192445,4046.49,4074.766955875145
4003.9,3953.7211128679073,4093.32,3987.816836215975,4103.52,4018.6320054426515,3972.39,3929.663048944931
3688.36,3732.7720642813,3639.91,3761.9171374190355,3732.16,3810.006630256479,3639.91,3665.248694278792
3785.64,3743.237785295598,3652.0,3790.5266192823697,3786.86,3822.030167040959,3652.0,3697.281209453416
3828.53,3774.1902637931885,3801.1,3813.5788263832683,3866.01,3842.8855041724237,3781.61,3739.8169071269294
3899.78,3860.31476483188,3841.75,3887.2817141409964,3914.91,3918.813097097157,3806.96,3833.717655200916
3899.87,3882.1282605698575,3879.55,3894.070930604169,3899.88,3932.5889456888826,3849.71,3853.4188276933564
3916.01,3908.9281920483954,3872.37,3907.987532175076,3920.17,3950.853775446099,3861.01,3877.3210425067227
3952.46,3928.2278508991058,3926.42,3920.57827430255,3970.52,3965.1873113220067,3915.71,3895.062664112732
3984.43,3969.2444812983854,3945.67,3960.0251511935185,3984.43,3999.030044859975,3940.67,3932.848336364064
3959.92,3945.8664003091535,3985.88,3944.783596971178,3999.55,3983.0968218836474,3950.14,3910.469177206811
3987.73,3992.7026430537458,3954.23,3987.1892066113405,4001.56,4013.9836104473616,3954.02,3945.686819607075
4077.42,4073.5947043815536,3999.65,4071.986629699118,4077.45,4088.8287299381363,3999.65,4027.6669931541855
4057.51,4033.244615266076,4069.83,4040.8205125670406,4076.39,4059.3737935213558,4027.79,3993.317791719351
4051.31,4026.2373863850853,4049.59,4034.0098569501906,4085.17,4052.6098686397854,4042.85,3988.6423203489135
4144.66,4131.792769971288,4062.9,4134.972078056434,4148.53,4154.492082848694,4055.81,4097.574920975042
4149.49,4144.654116491324,4134.87,4145.855395621704,4184.44,4174.100832554343,4130.17,4109.839911512336
4132.84,4131.805847024448,4131.84,4136.734622617972,4149.01,4167.015403532003,4097.18,4097.247036933125
4123.85,4134.975284492625,4066.3,4140.061642460246,4126.71,4171.918390638765,4020.91,4098.653535803573
4073.02,4082.99296237831,4070.1,4088.1628921592783,4132.78,4126.292611941616,4061.12,4043.30790136754
4084.88,4084.0987502249122,4084.08,4089.687015196084,4110.53,4127.401066826951,4067.44,4047.8425946961383
3940.05,3955.8495651142966,3988.73,3958.416048792288,4031.15,4011.4611901429253,3928.07,3902.7583595268916
4069.67,4068.614483478138,3968.84,4069.4987163096853,4092.54,4116.897053267791,3968.84,4028.555746654555
4091.36,4060.808194858806,4125.14,4065.193008817667,4147.65,4117.559123317677,4067.91,4031.451532392746
4115.05,4107.070795187337,4078.5,4113.139117568294,4115.26,4160.524218609851,4060.73,4084.535362859345
4206.73,4207.950938055438,4150.21,4215.965314398187,4215.85,4261.237724467043,4127.04,4190.793244767923
4138.51,4148.417977237266,4158.2,4163.241707232924,4181.31,4211.077007464281,4135.39,4133.200608241229
3997.13,4014.525007882232,4063.08,4027.7651690820803,4063.08,4078.3435170272082,3995.13,3979.0211632236787
4082.73,4092.9083466158404,3975.23,4102.792491324387,4093.0,4141.6776132379055,3954.75,4055.7753764802596
4028.43,4005.4350317030226,4090.93,4024.9809290217295,4091.27,4066.711334014082,4028.4,3972.8472419176865
3950.91,3940.39863837929,3976.11,3960.5540052411798,3987.43,4001.885719710326,3926.27,3900.1637375559494
3895.31,3895.8194173245247,3771.01,3922.622118696175,3937.18,3964.0079623256315,3765.15,3853.6732149605855
3727.84,3689.181261284138,3899.86,3706.678639802387,3899.86,3770.5447876981966,3720.51,3626.100352096756
3709.68,3639.953924685893,3739.78,3671.6105643155965,3786.89,3733.636275537884,3618.31,3589.0226710080474
3636.26,3559.142979930405,3729.69,3593.0455874039503,3775.85,3655.9019272620667,3636.26,3509.0537588069787
3589.09,3508.9310286254135,3623.79,3550.687454801992,3647.99,3606.6200752841137,3503.19,3460.9428149503246
3653.22,3545.3953717383374,3629.51,3600.532904164207,3663.95,3641.5185827243504,3588.78,3518.862182125784
3530.31,3489.4967149698946,3542.68,3528.772235325422,3585.8,3571.3265583909233,3523.79,3455.713522635136
3625.11,3544.0371708706066,3598.65,3583.6563391978234,3627.76,3618.4067108448667,3545.45,3520.886931763955
3722.52,3636.6011495219377,3711.48,3657.484008011623,3732.65,3690.982109021849,3685.99,3613.3380568791194
3698.05,3671.1259293580533,3692.61,3673.3206444829393,3736.25,3712.645547627139,3681.27,3641.3001515071874
3710.06,3695.0061173982917,3746.39,3687.116448405482,3758.78,3731.738226066827,3709.92,3661.819528285585
3674.11,3685.299836535536,3657.46,3675.7028518336965,3690.64,3719.1992055366436,3637.59,3647.160734340447
3686.16,3667.917325468285,3708.14,3664.3431122295324,3716.07,3707.5928734148365,3676.2,3635.967790698463
3675.08,3657.1486958810556,3682.3,3658.8656027775305,3731.78,3698.337111922221,3670.97,3630.094488501842
3734.53,3704.1575945700824,3656.32,3713.8368882234963,3734.53,3741.990878875929,3652.32,3687.2467210769823
3713.22,3680.935726102006,3721.48,3689.5006636528074,3738.83,3718.9068815686505,3698.98,3665.612077198806
3798.02,3754.9787779444728,3779.91,3755.637991454985,3803.63,3780.3759926427683,3772.21,3742.599211794525
3780.34,3757.942219456448,3776.42,3754.889110805988,3793.0,3781.6656975274627,3767.29,3745.087273053779
3792.81,3756.729225669095,3798.49,3755.548478130567,3801.72,3784.0447302491175,3785.31,3746.242972991246
3769.18,3740.503969068553,3794.84,3740.2701988322897,3824.74,3773.8433222624526,3758.96,3728.4417914444584
3753.26,3734.665971163353,3751.71,3737.4855053759397,3769.88,3766.577198120996,3740.19,3720.3934460743303
3825.7,3808.17623019641,3777.83,3807.8099452309107,3825.76,3831.1774004860554,3764.98,3790.4937342418425
3797.36,3777.5530085917303,3820.85,3781.88515062067,3829.8,3807.5181882069205,3793.44,3758.8350786416886
3802.38,3797.4634046677115,3777.8,3801.768054916166,3807.36,3823.550147226479,3774.56,3772.6732974371703
3839.49,3829.128194135161,3831.92,3834.830662742122,3863.45,3858.3915999217343,3821.42,3806.789385300675
3853.46,3842.6271441035415,3845.46,3849.896817483622,3853.8,3874.6905868982108,3831.55,3820.4556844392355
3808.05,3791.447442311349,3838.23,3806.225650067923,3838.23,3835.272677799164,3780.0,3768.2890578374017
3839.38,3834.858856623836,3789.13,3845.328205082913,3839.38,3871.800705312882,3782.21,3806.582351230041
3829.75,3803.7649905811963,3851.91,3821.707568940707,3857.47,3849.942405822273,3826.56,3784.039602477514
3796.97,3769.3293548153797,3826.31,3790.0393481249225,3827.21,3817.3808581252692,3787.07,3752.1542410457596
3822.77,3807.6198727961582,3808.02,3821.0928287366223,3842.87,3843.4150557642865,3793.77,3788.836564593208
3849.15,3834.1012938710146,3835.35,3843.2669373287463,3859.68,3868.635342006935,3768.2,3814.4486847531757
3867.03,3874.930637563414,3837.51,3879.364189348337,3880.74,3905.8125141248797,3833.72,3852.971631537691
3912.58,3930.441886632013,3880.41,3932.8958777259227,3921.7,3959.0853259302658,3880.41,3909.29726568783
3936.25,3971.529081328043,3867.26,3976.1338576497956,3937.69,4003.478944087916,3865.99,3949.5635662203313
3924.89,3927.1853767059188,3937.59,3947.5585747989735,3941.48,3973.5379325783083,3915.9,3915.717564586391
3963.62,3967.9594342428823,3943.0,3987.5208333993414,3979.66,4006.024408242442,3935.98,3954.9825917088865
3960.18,3959.6902697320215,3974.76,3981.3195420054426,3998.1,3998.6287032442483,3944.5,3946.236667753194
3960.24,3961.9355091264274,3961.34,3979.991998519727,3970.11,3995.160505885706,3930.21,3944.684841345699
3968.25,3979.508738008566,3946.64,3989.7875543120117,3972.53,4002.9247819252773,3932.57,3955.6915440324688
3925.22,3916.6061701758376,3952.2,3932.7754039318443,3952.2,3949.3831469621873,3924.05,3896.702404709304
3912.82,3894.4419893043764,3941.13,3907.249144404918,3945.2,3926.5244963135765,3907.4,3876.4524733864982
3922.91,3913.6135318768584,3914.66,3917.48876919301,3946.43,3936.0826022585725,3898.4,3895.690494451349
3956.25,3929.8250640453716,3963.78,3932.578630068183,3966.85,3951.6872055710146,3944.07,3915.5207828993225
3935.22,3911.5485227596573,3955.71,3915.722597463478,3955.71,3938.3153097961585,3923.92,3899.0937731760523
3913.79,3884.7680773850843,3950.6,3891.2566368661555,3951.74,3916.9228485895155,3907.58,3874.0879533492134
3824.06,3806.0752915519643,3907.58,3810.042855756211,3907.58,3846.714569528972,3818.15,3779.609227151699
3829.32,3818.9853857008557,3828.32,3817.9857059539695,3835.63,3851.555279488466,3800.18,3786.8707341218424
3872.77,3868.5005469443786,3850.0,3863.711340183847,3874.75,3888.2555809976143,3844.48,3840.5996958243263
3845.61,3842.584935001265,3873.7,3844.387343613675,3873.7,3873.564310565073,3838.42,3822.3947305585352
3856.63,3861.7124558106366,3848.49,3859.2640435983576,3885.42,3891.2450146265314,3818.43,3841.302176330783
3867.02,3881.953274061493,3838.38,3876.328767904418,3872.3,3905.6789511863994,3830.42,3860.7597265587383
3971.34,3984.6693186649604,3901.73,3972.02051960316,3976.32,3998.2470761971535,3901.73,3964.7693889061075
3983.57,3998.7613324154804,3969.95,3987.567792270689,3991.78,4009.502397605272,3958.98,3970.3388681234924
3983.65,3986.0035665145283,4001.17,3984.8858901644476,4018.68,4004.425700342451,3982.93,3955.7664505098974
3982.19,3975.8159594624694,3998.16,3982.8926318101635,3999.81,3998.4465719645027,3968.57,3949.831025276607
4001.25,4002.53114904702,3988.22,4003.866795504924,4001.25,4016.915075410897,3967.93,3973.259195504844
4021.95,4017.104942152051,4023.61,4018.0805009970336,4050.22,4030.9057605766884,4016.1,3988.258496739165
4047.03,4050.8091045334786,4027.56,4045.46678522533,4052.16,4058.530832512267,4016.34,4017.4481861444556
4039.71,4031.671225662199,4046.23,4033.0066859164885,4046.23,4048.41360312246,4024.42,4005.0844523379437
3995.88,3986.170072359705,4031.74,3990.2912124962877,4043.01,4012.7167209326567,3979.75,3962.8808998532672
4003.08,4015.5490317776453,3931.62,4013.9488975687154,4011.06,4036.176208964343,3927.25,3991.5248420658654
3954.99,3949.142720028648,3982.97,3956.5145059715605,4007.14,3983.2850242060513,3954.99,3928.470312271832
4014.57,4007.880570119581,3995.58,4009.0658874279766,4014.57,4031.049311359542,3987.86,3988.9008085695687
4017.59,4014.450429836492,4018.61,4016.675880191451,4018.61,4040.2517717088194,3992.13,3999.194586134124
4044.38,4061.3734860874533,4009.78,4057.694098074001,4047.56,4082.866313247505,4000.9,4043.307132438773
4098.71,4123.6824722349465,4047.05,4116.8826140212805,4109.36,4144.761050107983,4043.49,4103.55033050424
4102.05,4114.065982821359,4097.51,4114.423717975797,4126.94,4143.064683285232,4088.78,4096.860393917896
4121.79,4131.044788425733,4098.04,4131.766179716808,4124.73,4158.182819824675,4080.75,4112.250375043474
4138.99,4145.125278832379,4128.1,4145.507317036017,4144.68,4169.079558035788,4123.36,4124.988513082334
4109.72,4104.217796510459,4127.93,4112.814421261995,4137.37,4136.959825572233,4092.54,4088.124017494399
4163.96,4159.805501023519,4130.0,4159.852118742758,4174.42,4180.435214847838,4129.78,4138.332246602953
4247.78,4235.420453498464,4172.64,4231.375855786522,4247.78,4251.387229274025,4163.5,4209.89247419025
4335.84,4316.014137905424,4239.41,4308.612900587311,4340.1,4332.083071326526,4238.12,4283.747697838776
4419.6,4386.973335766232,4353.19,4375.629233690261,4419.6,4403.053298880688,4348.45,4346.790245159517
4670.09,4582.81942710432,4465.81,4571.245642136461,4678.11,4595.828748407003,4465.81,4529.022902864078
4698.13,4627.142091913193,4739.61,4614.527471930544,4796.32,4655.880760620648,4688.06,4566.527659805704
4774.0,4749.508092073534,4692.86,4730.608247401626,4803.36,4773.3893816715445,4670.65,4676.450512529505
4840.77,4836.128938491296,4770.08,4817.616494152455,4854.12,4861.8836412185665,4757.29,4755.646587241896
4753.13,4788.089412642389,4796.09,4769.373087168054,4821.37,4830.3809355851745,4734.47,4710.9620860890645
4852.96,4889.695914601813,4742.37,4874.600080584672,4878.08,4920.980214933874,4741.87,4805.161755221394
4806.69,4855.880726744305,4836.17,4844.714936692104,4860.44,4900.511661971762,4729.93,4775.232228187028
4744.47,4804.720834745512,4821.52,4797.256941120066,4837.48,4860.336896221327,4723.36,4732.905518944766
4516.25,4619.924594375464,4741.53,4613.1877515237065,4772.56,4697.876839168541,4513.65,4554.534037045922
4544.7,4645.739733118066,4524.77,4653.42807141331,4601.37,4708.18507792198,4485.82,4589.6010334851635
4680.3,4751.647420284928,4597.2,4775.969480789844,4681.94,4801.638661240431,4534.23,4703.7069868586495
4691.04,4764.32426382722,4697.5,4782.512244142013,4714.29,4810.614534610499,4661.44,4718.158746733154
4714.45,4814.428021938685,4682.66,4831.813229680022,4790.45,4858.7721339362,4675.35,4765.139909959543
4712.44,4817.28192694598,4668.74,4821.047924616264,4731.4,4857.404778457506,4607.66,4762.981270599741
4505.59,4604.451592021014,4679.03,4589.401561070928,4691.7,4663.56395886472,4479.39,4537.874298215705
4528.45,4600.254246384208,4535.01,4591.783574109115,4558.12,4652.768992218167,4482.44,4530.761066342883
4568.26,4626.974809213374,4567.67,4628.144378745967,4590.25,4673.039485573559,4537.69,4566.212014546669
4679.01,4741.143180227908,4559.16,4757.8223706919325,4680.56,4783.714332112302,4548.85,4687.781703156135
4656.15,4710.71015853502,4689.76,4725.448600930506,4704.63,4760.79908367891,4649.77,4663.095501386964
4695.05,4768.061711515296,4652.18,4783.27900154755,4741.81,4816.010712333203,4621.96,4720.743372630119
4771.31,4817.757879890667,4735.9,4822.285436610706,4771.37,4852.184465131802,4720.02,4761.222858663394
4775.8,4822.477401323427,4778.49,4819.311936106109,4807.08,4852.369599292863,4747.77,4762.4079060488175
4777.11,4855.959965917904,4761.76,4843.64090634081,4786.7,4879.047980253935,4711.27,4793.562464764515
4762.76,4853.665784680981,4779.24,4830.744640080718,4791.86,4873.351906079921,4691.16,4790.46957695227
4707.93,4803.556847538563,4742.29,4774.068715219401,4749.02,4828.129035719185,4637.84,4739.713101632529
4724.87,4826.477037453558,4681.76,4795.976550818269,4757.66,4845.083564742688,4646.29,4762.937185350408
4681.78,4781.218133323946,4730.38,4746.350933744818,4791.53,4801.907353838078,4674.86,4720.624701290344
4647.64,4733.508770698368,4668.89,4700.164131012877,4681.62,4761.384645535297,4566.27,4674.154363075126
4635.71,4688.270453216797,4666.49,4660.507007919985,4671.77,4719.223147394976,4626.1,4636.540290093728
4704.63,4770.086194715281,4627.61,4751.384147503013,4708.07,4795.309631909279,4617.63,4727.994499061902
4815.23,4872.631007607826,4727.12,4866.302156548667,4838.09,4899.958479009552,4721.36,4838.305660813262
4812.76,4877.527133996124,4816.57,4873.429282572973,4825.39,4912.484933134233,4788.83,4847.9546916063155
4740.68,4810.51358086775,4804.67,4800.283812810856,4809.05,4851.022219502916,4738.01,4778.323321832149
4679.15,4752.930395728049,4708.13,4741.350234956853,4721.44,4796.1473052360525,4662.8,4716.197722066585
4718.84,4771.384966202813,4717.79,4757.556551094676,4739.48,4803.943829609744,4684.81,4726.4870142133295
4755.85,4802.030198689047,4746.4,4795.943129056041,4769.47,4832.358789891174,4716.61,4761.035240044137
4761.95,4813.64715354657,4769.21,4809.300175193053,4802.41,4843.903824066142,4746.31,4776.648851286248
4706.13,4761.236007669249,4761.72,4753.1948815821825,4786.42,4797.141258951253,4689.88,4725.742306702061
4731.35,4777.773430360554,4718.06,4767.41648911885,4731.94,4811.081286814864,4679.36,4744.21159123166
4844.27,4886.065284427166,4727.29,4887.305790983377,4850.49,4920.567906273345,4719.35,4857.561815781544
4816.22,4864.656076793049,4870.93,4863.871694909421,4901.21,4905.913584336982,4816.21,4838.781627720309
4842.12,4919.920739250343,4803.39,4916.318212348303,4842.13,4958.340497531994,4791.78,4888.453016394393
4843.89,4916.4339566604485,4859.08,4911.480088411487,4863.55,4955.787003933951,4797.52,4883.737945192432
4817.1,4901.315847402134,4841.5,4894.476183940179,4877.01,4942.82343473788,4800.06,4867.2389124746105
4770.22,4879.551228768787,4737.24,4868.102786374139,4778.2,4917.966627694381,4726.56,4839.268487784895
4669.37,4756.56995973109,4759.52,4741.825782589178,4789.3,4801.483817012633,4655.56,4711.742805097609
4694.39,4753.093794154653,4683.83,4744.136288601201,4707.9,4797.388148019353,4639.05,4712.045763031981
4584.59,4625.242423359205,4634.25,4621.381264938177,4645.2,4682.712549648889,4558.03,4584.754731773559
4581.98,4583.56417175553,4632.1,4588.6761274721775,4647.75,4649.6529153338,4572.21,4550.285321141415
4627.28,4628.366155879212,4572.26,4632.0684563483555,4630.88,4683.172121050112,4563.11,4594.082734806206
4651.05,4638.259270283639,4652.05,4638.610960617097,4666.99,4685.690885672947,4625.99,4611.441301731234
4688.48,4692.833438438967,4649.45,4688.6338821275785,4691.5,4732.420941333601,4630.54,4670.8760352751315
4657.36,4658.870259771945,4683.01,4648.9736500335475,4690.68,4699.4466932958985,4638.46,4640.729670328346
4632.71,4639.013984569435,4642.05,4626.641047154268,4664.95,4681.871612320687,4601.64,4620.942954510529
4737.09,4734.716261765332,4636.64,4726.120792884777,4737.8,4772.510843046879,4631.7,4718.860906852624
4691.43,4675.632840833981,4750.75,4669.968993798558,4752.98,4720.652257780709,4688.72,4664.919272268545
4635.76,4650.627055153742,4654.22,4646.369602497458,4706.21,4700.840552466196,4622.11,4636.77404443903
4652.33,4667.3886004095875,4639.66,4662.278490859793,4665.96,4712.174471028728,4623.55,4654.055974796903
4563.07,4569.869260203421,4623.95,4565.481035860668,4631.95,4623.033155838395,4562.21,4556.75982951808
4570.02,4558.210225719396,4582.48,4553.88899557776,4599.54,4610.77082470936,4554.72,4546.104783587621
4581.91,4571.211017647873,4582.65,4569.66316055747,4613.63,4620.531886263219,4571.15,4567.529317680093
4591.8,4568.5941827825045,4608.29,4568.143636251514,4616.68,4615.838905008408,4586.35,4572.599890282202
4587.4,4568.429619073936,4607.58,4568.770229522435,4634.72,4616.325110661292,4563.41,4577.219998781384
4681.14,4651.617933251048,4663.61,4644.219080502302,4695.4,4682.4172227995805,4655.08,4651.789685409659
4823.16,4793.698173689981,4705.19,4795.244769675528,4823.27,4821.194468842899,4704.16,4793.838253882438
4839.2,4833.90286151142,4812.9,4835.833945401103,4845.92,4867.772422036956,4795.37,4831.848325179069
4807.1,4810.886859523772,4830.46,4812.779795174493,4830.46,4853.587202385988,4795.91,4806.1480345204345
4798.74,4815.35804642228,4810.78,4812.99807296269,4833.89,4859.376496440818,4796.26,4805.5321225777125
4791.68,4811.357374485958,4798.92,4803.15963886305,4825.55,4854.928576413306,4765.97,4797.087234234475
4755.49,4772.827973702419,4823.49,4765.438387145111,4849.6,4822.839786683298,4747.34,4757.865459355147
4793.47,4817.6967673254085,4751.37,4807.872625504082,4793.47,4861.398088365968,4739.46,4799.294700571008
4792.83,4801.295812099746,4801.63,4792.1862898065065,4801.63,4844.914881148831,4758.85,4785.895988643519
4777.98,4791.556514914658,4780.6,4785.9103823853075,4791.81,4838.042983099986,4725.5,4779.3836746024535
4718.49,4734.290545420899,4775.47,4731.165276772095,4802.46,4786.825056034326,4717.1,4725.2408369908935
4691.24,4712.210394326669,4684.05,4707.823414398553,4713.39,4762.649903049287,4639.3,4700.885787210901
4699.28,4715.550480864787,4680.14,4711.9677129148495,4708.46,4759.521553519547,4671.85,4705.357107993583
4737.27,4750.348389845848,4703.0,4751.7985514463,4753.31,4791.484744474561,4685.6,4743.701022530078
4772.92,4788.178621450575,4683.61,4790.444731002646,4803.03,4827.239921729888,4679.25,4770.1861331506825
4695.33,4690.163130078999,4776.47,4689.887716377992,4778.51,4736.898629054147,4683.47,4667.008836194071
4720.83,4720.997526670833,4702.75,4714.628499721698,4738.02,4762.672620499234,4695.44,4693.503814733858
4777.56,4773.95777930507,4743.17,4764.545844735218,4793.4,4811.213674712831,4734.17,4748.340226093652
4813.66,4818.075872391253,4781.45,4806.492228999028,4825.46,4854.4801026169425,4770.56,4793.738036833081
4885.11,4888.045875339814,4861.34,4879.034293457041,4885.11,4925.500987473284,4838.0,4864.963395942157
4885.72,4895.66099297905,4897.63,4886.392262815806,4897.63,4939.411378203919,4845.43,4873.4870994840585
4981.35,4990.253015414148,4918.86,4976.6968280226765,4997.8,5030.014182674162,4918.86,4959.5831564911
4953.88,4965.551756754013,4995.41,4947.718346586835,4995.41,5012.228247206629,4928.93,4932.91465635946
4904.9,4939.938729694397,4937.76,4914.995850531151,4957.58,4985.6548365315175,4901.71,4904.319733355786
4908.46,4947.657816380038,4916.77,4916.991311094574,4926.34,4983.792397316053,4891.51,4911.484867920411
4856.85,4908.603779760841,4886.98,4876.820425563707,4886.98,4940.501032441021,4825.76,4875.407242771158
4904.17,4952.7673188436465,4880.96,4926.7498179566355,4904.17,4976.088831703063,4848.62,4922.18810005363
4894.79,4937.7092863444,4903.12,4914.308243112905,4909.29,4958.977108370732,4865.39,4910.851526925627
4891.67,4941.264043715568,4889.67,4917.91015047242,4911.09,4959.647925944448,4870.72,4916.457530259465
4927.99,4983.511470821106,4880.92,4961.046634463325,4939.79,4999.286612100162,4870.2,4959.722332598008
4943.29,4997.174919760168,4928.22,4971.952880911984,4947.43,5012.2983579573265,4922.59,4973.915732406651
5005.03,5055.152099679708,4954.6,5034.7306091308,5029.65,5073.869436436091,4940.45,5030.227718071168
4974.29,5024.559175406111,4997.05,5002.866974639352,5001.06,5052.835558426453,4960.98,5000.679067086275
4910.7,4967.416984752157,4992.75,4940.063985786293,5004.77,4999.803760486594,4910.7,4941.207040497156
4919.59,4978.060540741843,4908.32,4948.785511227284,4925.29,5003.7240873231,4867.82,4950.206710946104
4980.77,5032.86608210505,4930.59,5010.861900606164,4980.77,5053.967775242191,4917.35,5005.380682034805
4960.25,5019.515835062941,4994.11,4998.229122192477,5055.19,5042.435274832711,4960.25,4988.15834365641
5067.1,5114.676515096806,4963.13,5098.047101338403,5072.55,5136.04318013873,4963.13,5079.841437087693
5067.14,5115.415692289739,5072.98,5093.388781300706,5090.61,5140.385477079996,5043.31,5079.236161992921
5057.06,5117.818633176699,5065.45,5092.019914008205,5072.3,5146.4935987944245,5033.79,5080.691359685306
5065.92,5135.563417459195,5049.52,5105.0534944852025,5072.39,5161.24035725126,5017.85,5096.5690979590345
5022.23,5089.738315770517,5065.73,5056.244508377204,5067.87,5118.381798965733,5014.61,5053.746429661771
5009.88,5075.311866096132,5029.11,5039.969146505785,5043.06,5100.908685395168,4998.92,5040.755506290615
4942.7,5009.593847560944,5022.38,4972.377907275824,5033.64,5032.917054985179,4942.52,4977.651060204094
4940.52,5014.286826460064,4931.29,4980.202485888643,4962.74,5030.1673296212175,4919.77,4985.71789190334
4889.63,4936.398732561448,4957.82,4906.048533882549,4957.82,4954.146647375725,4849.35,4911.197032251797
4934.83,4971.90215503424,4903.63,4949.611469196148,4937.26,4985.43275387428,4887.66,4952.421866570314
4945.1,4972.711767048151,4931.6,4954.616313318963,4954.19,4984.095035528562,4904.79,4959.385285488278
4953.87,4972.20681153012,4957.3,4954.694945139399,4968.86,4983.246134036873,4938.19,4964.614001106891
5017.48,5037.463507883065,4960.73,5025.743782259409,5021.62,5047.980552140698,4950.37,5032.008044477388
4999.97,5018.6080804124485,5014.32,5007.999287808805,5027.44,5034.648803583421,4979.0,5016.868349665611
5046.84,5068.448614275667,4995.76,5054.092950048334,5048.51,5081.692725621501,4970.0,5051.920608303478
4964.77,4995.68141670876,5034.98,4972.948538526271,5055.13,5011.867248648567,4960.95,4972.398123329307
5007.12,5039.795496045954,4977.3,5012.527936590725,5028.45,5052.41006320015,4968.15,5012.870432694085
5000.02,5027.323742129445,5006.0,4997.813034206907,5033.04,5039.50354874906,4979.24,5002.473874984282
5042.01,5071.593969249908,4985.77,5043.805394826039,5042.1,5082.916203917199,4973.68,5048.308565418414
5064.41,5100.928518477416,5042.94,5076.228001813669,5089.34,5115.388056854929,5037.86,5081.639192545975
5042.94,5075.384243053717,5071.45,5046.24492438527,5077.42,5095.189110410864,5034.31,5059.35217668602
5113.71,5148.693555685752,5037.98,5120.630885601251,5113.71,5169.1650916010885,5036.63,5130.8230803815
5211.29,5222.034719358155,5122.48,5197.658850075542,5215.62,5247.264420516712,5122.48,5200.5271139241895
5267.72,5271.25130946717,5212.93,5248.8405222183155,5284.43,5304.44946443506,5190.94,5242.166272693563
